DATE 	1	7	30	90	180	270	360	720	1080	1440	1800	2160	2520	2880	3240	3600
20220331	1.920597568	1.96394394	2.074284671	2.307228749	2.365463529	2.462065007	2.545069142	2.782139462	2.904358766	2.986545195	3.014051485	3.059627694	3.112996922	3.170555903	3.232499139	3.297026486
20220330	1.912260769	1.960612962	2.073886547	2.307380963	2.367677107	2.462022916	2.545085546	2.776116749	2.898075675	2.969957721	2.986522467	3.02763548	3.07666253	3.133020228	3.19393149	3.257335984
20220329	1.920327337	1.966791176	2.073757286	2.309708545	2.367626115	2.462014398	2.545078882	2.77615988	2.89162618	2.969952451	2.98674603	3.027835858	3.076839699	3.131840195	3.191200432	3.252957719
20220328	1.908751812	1.958053333	2.074524235	2.307064607	2.363016354	2.461702221	2.542419962	2.776219185	2.888438202	2.973377438	2.986919127	3.033270565	3.088221122	3.141205188	3.197734226	3.25649517
20220325	1.915810059	1.963510468	2.072762406	2.304722232	2.362983815	2.45907051	2.539739	2.770218037	2.885324301	2.973559753	2.994144295	3.039061821	3.092064827	3.142279585	3.195822909	3.251421379
20220324	1.911525097	1.957287753	2.072762406	2.304722232	2.362983815	2.45907051	2.539739	2.770218037	2.885324301	2.973540257	2.997590595	3.04818742	3.107193364	3.162219533	3.220742455	3.281632555
20220323	1.911776774	1.960461741	2.072762406	2.304722232	2.362983815	2.45907051	2.539739	2.770264942	2.878905403	2.970532591	2.990855953	3.041164106	3.100061719	3.154900781	3.213209811	3.273868234
20220322	1.915810059	1.963510468	2.072762406	2.304722232	2.363622441	2.463948093	2.542451232	2.776232664	2.885160581	2.980038774	3.004409516	3.055095408	3.114224748	3.169445413	3.228189145	3.289317106
20220318	1.915810059	1.963510468	2.072762406	2.304722232	2.363622441	2.463948093	2.542436365	2.779168811	2.897928595	2.993421514	3.017901005	3.072445145	3.13584034	3.18919874	3.245447328	3.303941038
20220317	1.907743491	1.957412603	2.072762406	2.304788081	2.366473674	2.469188462	2.547753693	2.800137515	2.923301977	3.012935507	3.037481177	3.088737254	3.148599292	3.202129798	3.258911667	3.317978106
20220316	1.918581329	1.961882887	2.072129888	2.304959857	2.366475131	2.468784084	2.545075294	2.797121575	2.923372833	3.013080938	3.034123696	3.079656825	3.133463431	3.188937292	3.24847563	3.31046204
20220315	1.917826701	1.964255859	2.071043665	2.304661634	2.360780922	2.461350958	2.539749252	2.776131845	2.90451336	2.986844486	3.007317347	3.056101139	3.113366369	3.165780757	3.221478359	3.279373827
